frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.69, 0.00, 0.00, 0.92, 0.00, 0.00, 0.00, 0.05, 1.01, 0.00, 0.00, 0.12, 0.00, 0.05, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.033, 0.98, 1, 0.00, 0.22, 0.64, 0.00, 0.00, 1.06, 0.00, 0.00, 0.00, 0.11, 0.94, 0.00, 0.00, 0.08, 0.11, 0.15, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.067, 0.98, 1, 0.00, 0.34, 0.64, 0.00, 0.00, 1.25, 0.00, 0.00, 0.00, 0.19, 0.97, 0.02, 0.00, 0.10, 0.12, 0.20, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.100, 0.98, 1, 0.00, 0.22, 0.64, 0.00, 0.00, 1.38, 0.00, 0.00, 0.00, 0.28, 1.07, 0.09, 0.00, 0.15, 0.05, 0.23, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.133, 0.98, 1, 0.00, 0.19, 0.66, 0.00, 0.00, 1.45, 0.00, 0.00, 0.00, 0.22, 1.14, 0.15, 0.00, 0.15, 0.05, 0.14, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.167, 0.98, 1, 0.00, 0.10, 0.63, 0.00, 0.00, 1.21, 0.00, 0.00, 0.00, 0.25, 1.10, 0.13, 0.00, 0.13, 0.04, 0.10, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.200, 0.98, 1, 0.00, 0.09, 0.61, 0.00, 0.00, 1.14, 0.00, 0.00, 0.00, 0.21, 0.98, 0.09, 0.00, 0.10, 0.02, 0.10, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.234, 0.98, 1, 0.00, 0.06, 0.68, 0.00, 0.00, 1.03, 0.00, 0.00, 0.00, 0.30, 0.92, 0.10, 0.00, 0.10, 0.02, 0.10, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.267, 0.98, 1, 0.00, 0.03, 0.72, 0.00, 0.00, 1.24, 0.00, 0.00, 0.00, 0.33, 0.93, 0.21, 0.00, 0.10, 0.04, 0.13, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.300, 0.98, 1, 0.00, 0.10, 0.77, 0.00, 0.00, 1.33, 0.00, 0.00, 0.00, 0.43, 0.99, 0.33, 0.00, 0.12, 0.04, 0.09, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
